Sleeper_ID;ADP;Player_Name;Last_Month;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;All_Year
6823;282;"Jacob Eason,QB";23;23;21;14;20;39;6;0;0;0;0;0;0;123
3257;282;"Jacoby Brissett,QB";16;6;6;7;14;22;3;0;0;0;0;0;0;58
7828;283;"Noah Gray,TE";6;0;0;0;0;3;4;0;0;0;0;0;0;7
1408;285;"Le'Veon Bell,RB";21;20;7;12;15;34;4;0;0;0;0;0;0;92
5122;285;"Boston Scott,RB";10;10;11;22;20;16;3;0;0;0;0;0;0;82
1048;285;"Lamar Miller,RB";0;0;0;0;0;1;0;0;0;0;0;0;0;1
6074;285;"Donald Parham,TE";18;13;17;49;20;30;5;0;0;0;0;0;0;134
3300;286;"DeAndre Washington,RB";0;0;0;0;0;0;0;0;0;0;0;0;0;0
3328;286;"Rashard Higgins,WR";12;9;9;12;6;25;3;0;0;0;0;0;0;64
7812;286;"Simi Fehoko,WR";7;0;0;0;0;8;1;0;0;0;0;0;0;9
4949;287;"Derrius Guice,RB";3;1;3;0;2;0;3;0;0;0;0;0;0;9
5010;287;"Will Dissly,TE";11;2;6;9;12;18;2;0;0;0;0;0;0;49
6919;287;"Thaddeus Moss,TE";17;0;1;4;10;34;3;0;0;0;0;0;0;52
19;288;"Joe Flacco,QB";3;1;0;4;5;7;0;0;0;0;0;0;0;17
5007;288;"Keke Coutee,WR";18;17;12;10;10;39;4;0;0;0;0;0;0;92
4455;290;"Matt Breida,RB";12;4;6;2;11;20;3;0;0;0;0;0;0;46
1833;291;"Damien Williams,RB";15;3;5;23;12;29;6;0;0;0;0;0;0;78
6059;291;"Travis Fulgham,WR";13;10;19;16;13;27;3;0;0;0;0;0;0;88
6290;292;"Scott Miller,WR";16;2;14;16;18;23;8;0;0;0;0;0;0;81
1111;293;"Andrew Luck,QB";2;2;10;1;1;1;1;0;0;0;0;0;0;16
4972;295;"Mason Rudolph,QB";8;4;4;7;4;18;0;0;0;0;0;0;0;37
5024;295;"James Washington,WR";13;14;16;16;18;25;3;0;0;0;0;0;0;92
7716;296;"John Bates,TE";1;0;0;0;0;2;0;0;0;0;0;0;0;2
4622;297;"Keelan Cole,WR";5;13;8;12;14;10;1;0;0;0;0;0;0;58
2673;297;"Damiere Byrd,WR";3;5;7;1;2;8;0;0;0;0;0;0;0;23
147;297;"DeSean Jackson,WR";10;2;3;8;9;23;2;0;0;0;0;0;0;47
7576;298;"Sage Surratt,WR";8;0;3;1;2;7;1;0;0;0;0;0;0;14
331;299;"Philip Rivers,QB";1;15;1;2;3;1;0;0;0;0;0;0;0;22
6156;299;"Benny Snell,RB";19;15;13;16;19;39;5;0;0;0;0;0;0;107
6001;300;"Drew Sample,TE";15;13;7;9;8;24;2;0;0;0;0;0;0;63
7604;301;"Tamorrion Terry,WR";6;0;3;11;5;6;2;0;0;0;0;0;0;27
