tradeid;time;leagueid;items1;items2;owner1;owner2;rounds
645505938056499200;1608267176516;643678877276798976;"2021-03.03; 2021-04.03; 2021-07.03";2021-01.09;443908796562010112;595717312305229824;25
645507102617583616;1608263419937;644283230517817344;"2021-34.05; 2021-06.05; 2021-08.05";"2021-34.02; 2021-04.02";433332712762241024;465703826335199232;38
645518138435334144;1608266039372;644423062112149504;"2021-15.12; 2021-08.12; 2022-02";2021-05.11;644621974429073408;468904401214369792;27
645521369618124800;1608267438270;644423062112149504;2021-07.11;"2021-12.06; 2021-14.06; 2022-03";422506244872347648;644621974429073408;27
645525317124988928;1608267898960;644423062112149504;"2021-11.04; 2022-03";2021-08.11;644621974429073408;471718938078605312;27
645542270417854464;1608294203834;643180020554092544;2021-06.08;"2021-07.07; 2021-09.07";623748547824926720;493867998407290880;30
645675926776016896;1608303709519;640390155361923072;"2021-09.08; 2022-02; 2021-03.02; 2021-04.02";"2021-10.10; 2021-03.10; 2021-04.10; 2022-02";443132915346305024;340503798705369088;25
645719437705564160;1608314353629;643180020554092544;"2021-11.03; 2021-07.03; 2021-09.03; 2022-01; 2022-02";"2021-10.06; 2021-12.01; 2021-05.10";417609044493082624;600914400559308800;30
645723810263289856;1608315704133;644423062112149504;"2021-11.04; 2021-11.11";"2021-12.04; 2021-13.04; 2022-02";471718938078605312;644621974429073408;27
645742592666972160;1608320343073;644283230517817344;"2021-06.03; 2021-08.03";2021-05.10;94554742008987648;644112018420375552;38
645749421342035968;1608321281949;644283230517817344;2021-05.07;"2021-08.11; 2022-01";471523501275082752;565684665600733184;38
645751613767659520;1608321745476;643180020554092544;"2021-13.05; 2021-08.05";"2021-10.01; 2021-09.03";417609044493082624;431667524656955392;30
645752767234793472;1608322012357;643180020554092544;2021-09.01;2021-09.03;431667524656955392;417609044493082624;30
645758491918684160;1608335732278;645129762402050048;2021-34.07;2021-34.01;385205474594725888;385627206065467392;34
